team,wins,losses,division,conference
NEW YORK KNICKS,54,28,ATLANTIC,EASTERN
BROOKLYN NETS,49,33,ATLANTIC,EASTERN
BOSTON CELTICS,41,40,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,34,48,ATLANTIC,EASTERN
TORONTO RAPTORS,34,48,ATLANTIC,EASTERN
INDIANA PACERS,49,32,CENTRAL,EASTERN
CHICAGO BULLS,45,37,CENTRAL,EASTERN
MILWAUKEE BUCKS,38,44,CENTRAL,EASTERN
DETROIT PISTONS,29,53,CENTRAL,EASTERN
CLEVELAND CAVALIERS,24,58,CENTRAL,EASTERN
MIAMI HEAT,66,16,SOUTHEAST,EASTERN
ATLANTA HAWKS,44,38,SOUTHEAST,EASTERN
WASHINGTON WIZARDS,29,53,SOUTHEAST,EASTERN
CHARLOTTE BOBCATS,21,61,SOUTHEAST,EASTERN
ORLANDO MAGIC,20,62,SOUTHEAST,EASTERN
OKLAHOMA CITY THUNDER,60,22,NORTHWEST,
DENVER NUGGETS,57,25,NORTHWEST,
UTAH JAZZ,43,39,NORTHWEST,
PORTLAND TRAIL BLAZERS,33,49,NORTHWEST,
MINNESOTA TIMBERWOLVES,31,51,NORTHWEST,
LOS ANGELES CLIPPERS,56,26,PACIFIC,WESTERN
GOLDEN STATE WARRIORS,47,35,PACIFIC,WESTERN
LOS ANGELES LAKERS,45,37,PACIFIC,WESTERN
SACRAMENTO KINGS,28,54,PACIFIC,WESTERN
PHOENIX SUNS,25,57,PACIFIC,WESTERN
SAN ANTONIO SPURS,58,24,SOUTHWEST,WESTERN
MEMPHIS GRIZZLIES,56,26,SOUTHWEST,WESTERN
HOUSTON ROCKETS,45,37,SOUTHWEST,WESTERN
DALLAS MAVERICKS,41,41,SOUTHWEST,WESTERN
NEW ORLEANS HORNETS,27,55,SOUTHWEST,WESTERN
